countries,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Bolivia,-4602.981686320258,-5898.497130242827,-4748.587930254409,-3940.3989652770874,-4498.064660978895,-4604.291886658019,-6031.251751621877,-8791.16739517564,-7137.3079638782565,-13696.334852585107,-81298.37606498906,-13210.45415860734,-43782.181459318854,-18579.01877336608,34929.28278688526,15673.757234078255,19412.3922465304,27002.76854179617,16480.375507214263,28980.11822689349,-1121741.7676055417,-31799.130309849053,-51360.586278586496,33379.80574090215,52577.162712571735,13356.124313193088,17037.16463929247,13638.963584827803,13098.929137152927,11180.811325133434,7485.916527568128,8070.432531930191,7540.994296209399,7878.36462308065,5324.496731975761
Brazil,-49199.552960058754,-50601.35638782335,-48755.30239632141,-49429.053873482844,-56658.34960780312,-60298.52039693616,-79986.18785771246,-77784.05017428138,-74059.46795967789,-71180.97312198993,-68855.02585765928,-69573.43885858844,-73168.46299365674,-73741.85351473738,-73995.41132409769,-77902.9845723237,-86532.29043724822,-97068.31096770488,-99970.17642063356,-121086.43211583601,-131497.49884834234,-159564.44956774212,-140525.0270509401,-136482.00629833364,-153298.7103439707,-160574.26886528367,-161254.31317084836,-156307.1454246344,-204181.7517341522,-160759.4205912788,-217159.0261578232,-187261.11051803574,-271895.8425484948,-438542.165826454,-666311.2252875371
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brunei Darussalam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,-437317.9673656067,-413455.93484917097,-468068.72249708365,-521306.96994133835,-558764.318344091,-528139.1974860237,-492884.96625037695,-633174.8879092243,-846289.2983966182,-1085247.3815590222,-762568.0729550307,-817751.7626442087,-849090.4907049274,-814080.3250487346,-938385.0536947392,-921891.8811266522,-791253.4274794137,-916010.6567247248,-1192727.471395978,-1133971.6366287903,-1259285.7922765915,-1749072.983919526,-1371256.6835936648,-1664188.4138793193,-1678870.6288957407,-1488850.3225554044,-1469741.9403604362,-1451839.3462433768,-1337088.8428792339,-1194175.2283425173,-1401826.6229770742,-1288569.2639856434,-1211744.7144882358,-1298265.3426498568,-1462555.335088919
Switzerland,-4897.126114357426,-4451.343030846988,-4309.383471434529,-4482.1900804601355,-6370.236216351052,-8425.954179740524,-8943.182194566225,-8069.491360638561,-6694.403476220872,-10482.425203403853,-33464.06773372044,-25857.97372742617,-28248.492771192232,-18247.718838610057,-18555.471799549185,-23273.239897011,-127527.10657479924,-35005.19786847646,-50960.731928186084,-22747.776583601422,-29548.949861338053,-24064.31273368873,-48182.61508155801,-53521.369607496854,-66989.9273290045,-50319.7844331643,1115416.0606837822,-59386.72316757695,-51905.492370098116,-53518.84734967518,-40204.17825416555,-115564.77493335678,-28039.86058720082,-33049.73696380592,-41840.025421223734
Chile,-29710.118788301705,-26967.526950385887,-16951.347835037577,-16568.20782840262,-19594.929668053082,-15966.872545022088,-14627.587676207739,-14141.146492157064,-22677.135641994882,-67559.31221496184,415610.3734679859,-38500.06123213617,-23717.873994004924,-24435.477591415918,-40338.44618697682,-47512.260782316815,-179608.01815304655,-148302.47022360377,188732.03367823295,59993.34718248183,243448.86109618886,1339064.135105031,-949970.5414511214,244761.07110132164,141830.7398216699,-2598886.2769423537,-481663.46615733416,113094.08362584813,133195.99197747145,140130.89099780435,73902.3905817174,60593.61803473595,53083.69619398968,45853.95054180219,59616.08757912639
China,242985.80377817716,277028.8634697735,336423.2956964392,408917.3458837971,391002.03264549375,443043.18008541333,423392.90179841215,434091.4171212101,480778.06194355775,542947.5986890534,588002.9548285218,545331.7754995478,560616.9351224113,655921.0483849121,722507.1174044053,829224.7589748866,856154.3721908681,835259.7721583548,864705.5608924878,802809.0861650085,848700.4718018407,1070396.1189208769,1082312.3927099397,1030857.1979672225,1243766.6053724017,1378159.6143674855,1471718.3315335552,1515568.7927355177,1930626.7432867805,1997678.412091233,2320808.7493143086,2108091.8935483196,2789034.017762305,2742299.180361059,3172663.755953317
Cote d'Ivoire,-3429.8692118797203,-1347.8915298663053,-2363.3764977701358,-207141.64705881543,2414.449101796408,-6999.724196158447,-8926.371001399357,76801.74863387982,-39104.09356725149,-6388.280575813212,-4474.666666666668,-3738.0568600905654,-8699.682662675003,-361248.7256756763,290338.3539955278,-11897.140215168482,-35156.66210670304,46422.33261299368,7677.118325920409,6275.151560828163,7052.1222391129395,8505.793811613486,5678.38359251747,5951.034557102796,5719.052565619997,4316.1537084262545,3332.603044816161,5277.564409770595,5731.431526883335,6379.684158365956,3871.2585417319438,4817.388456377274,4468.471827263517,3231.1433401348622,3982.50900697825
Cameroon,-349.9245049446917,-516.6713534274027,-641.9578551249228,-469.0253860233269,-345.6759367630359,-222.58722761053042,-70.72386927341698,-82.80284043441938,-72.11264733666916,-228.21303050025807,-53.36930297236225,-36.85082617233917,-101.43730271601513,-97.6905656327144,-90.8938341601701,-104.3347047803444,-110.99849076242516,-75.94256116690772,-121.73298000857335,-103.97650870797894,-99.50717056467404,-154.462375595285,-220.25759881156023,-319.7774009410304,-331.49597855227887,-430.11317174755607,-2165.124715137515,-5911.935952434716,-5567.713859910581,-7789.436746662186,-7157.3909134522755,-5404.148285282783,-6278.586236429237,-8480.72791362551,-7203.343802156953
"Congo, Dem. Rep.",-371.07953882795977,-372.4323799344987,-339.6614992673185,-371.3915814947352,-376.7917321751125,-369.0706053970604,-347.4108568075117,-382.33754337988137,-356.2404064425467,-133.54608759874972,-273.4561634018156,-255.4736320494453,-200.3450792363695,-227.7368448239553,-108.73333792818248,-149.41914140505148,-161.66034407462826,-132.60584285279938,-105.49652636703992,-88.8517185241537,0.0,-23.56907844918976,-24.10958272496734,-21.002667813815048,-23.769520007753357,-23.44415123980978,-69.8820186368688,-138.37557875440592,-131.40816720155567,-121.97103843287938,-131.06725741682118,-129.30290142332098,0.0,0.0,0.0
"Congo, Rep.",-209.72624798711757,-225.55092592592587,-114.72058823529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.33380171740827,0.0,0.0,0.0,0.0,0.0,0.0,-106.73280875812522,0.0,0.0,0.0,-87.936,-122.12927756653993,-119.85903386625411,-140.1172427733981,-112.36916695471828,-123.98024903392009,-848.7550665894616,-2634.443952148868,-1774.2202943659868,-4029.9296258714994,-4355.767327903756,-6258.889874353287
Colombia,-40386.68875674176,-45024.42443580304,-48616.74958135153,-57692.98537045196,-55099.38774656734,-52997.38082735508,-47062.68697691939,-43650.19776579982,-45168.48853707305,-40855.35837097159,-45420.33830027044,-46140.37167252635,-64636.49609526451,-55560.51287430598,-45017.30782424896,-45308.22479053211,-34223.580045546136,-55082.456740583984,-67434.32061478085,-37196.83658364407,-44862.48642680096,-45375.64724137413,-42243.83065198243,-42386.48646550463,-34633.30371718984,-40132.32574985808,-39110.382251508585,-37837.85950201647,-34143.32635616916,-71730.25082134048,-82821.11248743343,-42120.39492101338,-53777.83955469786,-80689.79124565258,-76253.25895360147
Comoros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cabo Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costa Rica,-360.23391812865515,-300.24451628836357,-538.8833333333333,-376.1981490910181,-311.1782150407285,-308.85736894164205,-464.9195713487709,-603.205758315629,-668.6318166138792,-440.41039337095793,-443.1534494025393,-666.4372036719458,-2090.740748906772,-1409.610630988199,-2825.7029536885216,-3008.255973980267,-1599.5723087015856,-848.9966807993676,-1172.778433587924,-394.9863471575861,-186.49413950700537,-583.3348584274797,-647.4169009127704,-751.5036414822725,-442.36014710710367,-986.8541666666671,-1951.442706689199,-2681.40041877457,-2307.2620286041733,-1537.256079378952,-2052.961879680992,-2466.958532549713,-2257.7821937182193,-3579.800353644925,-3479.618285702394
Caribbean small states,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuba,197.30516265864935,116.9613220779209,90.25323049036577,103.0916920000884,109.34064195051806,95.6989623836667,106.14295763236015,77.90228064322326,128.28649791563114,137.94166155620061,154.0796937912186,199.35855749975397,190.59976627294796,208.8127987251136,131.51338817590323,151.6414870923225,186.27031713759385,190.80109037063949,140.94913085688458,140.3196293307306,124.95561485116926,91.81558424412738,181.96768067937356,230.2707145350103,155.98506124958186,121.44999302985505,162.715494273334,191.97779080146913,262.7282027041761,253.76518673035412,215.18760230898224,208.79341228888512,228.81761877934318,248.48424426123086,199.70389811753955
Cayman Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,58.38447810178497,68.9075256884133,70.16189383011877,76.43730555641511,66.37671616789143,64.72604426442138,58.276953237180535,60.06295361896866,67.69912084217646,48.11707499086493,56.51524052906139,47.85156057147703,54.6196494325923,52.30991477605526,58.39120641922012,52.14899064764443,32.27498592099667,30.803430054598834,44.01200211965844,47.37759859771538,44.56209342292746,41.58499793098182,45.490801802927734,29.082081294836367,35.1318761781733,29.15626782121529,30.852541479429394,36.974289971920946,33.57222631533852,24.19119801030224,25.97833286526876,18.8243823702463,18.476904577909195,14.234778919179119,14.128572076552667
Dominican Republic,1626.2721733243059,14050.481666666667,3537.74559377406,4944.03887314391,5999.245772366199,4754.962474513038,7900.390996784561,9817.625036514952,48134.72975906223,1847.3138859766345,948.865916216216,1677.7400971072307,1253.770807533397,3865.185158930414,1352.3839491373676,1999.1053772815587,2610.549674997933,1732.666551070096,2862.657858203595,4028.4819116263297,2300.363103764994,1910.2259290549202,2374.7908672586877,3231.0289753626835,4021.675708697759,5355.4887076651885,4442.5316968475945,4296.614261129474,3243.0095821840846,3411.7104299299162,3090.719909303768,3315.7249236357643,3933.1416427460404,4100.277501269681,2375.7079185966445
Algeria,2395.4561924949408,2205.836764058771,2306.1726459468146,1384.5417554413295,3129.992643338714,3998.537215742217,1527.8623507731752,3429.890638331889,1143.050109381123,1232.860919539855,592.3631136192809,1216.0607488907362,780.8484514412532,1383.7231793477567,670.5654530285494,889.5898615468715,602.7559408911579,303.7884291469025,973.0535261866646,738.2245024692603,177.89455466927916,210.27079602392547,176.36978553907997,755.2671790485241,625.2964884011277,1527.4132136520072,537.0589715924682,538.484411150118,629.5016939009023,761.4262612119123,346.55018615142757,941.7288205951199,1148.0291916109595,575.7597670277519,449.97718607627826
Ecuador,4486.420223020223,3904.483111380145,4750.103777465156,20513.944960930996,-14332.471219887468,-9562.601693825041,-5432.890664044075,-4748.034813833149,-4328.527910329588,-5045.283611633827,-5561.395812364088,-7277.205207278891,-13205.674959984935,-8900.343907608098,-4439.56364262889,-29401.415510519848,-19911.151112604522,-20267.609326313526,-34970.99743120625,-18095.081226907514,-15177.831386625125,-26157.44874069341,-29088.527191586953,-32225.017109625147,-51697.78226024304,-93068.42661223299,-609938.8648648547,-92931.07195872189,-50193.02673142573,1442852.3872367032,85111.65838469035,-130735.31380105006,-148335.1990851686,208183.11537224302,191487.5290286881
"Egypt, Arab Rep.",-303757.6158745405,276514.08887577633,178429.6876985879,47766.62521310705,33526.25830052288,22573.660353132836,29403.354507067615,20778.28976034792,20756.76550433303,21395.67577484763,21942.823181835152,22161.22493670242,20702.30361357171,24421.762726111006,23872.444313358217,25096.31977221704,23957.594642731365,24748.597927375286,27444.765961561254,33639.16850494865,26341.975169422676,25328.819435867765,19072.887242697845,22245.670328521384,23143.84149269882,22292.20048732452,22465.03416903114,25745.20351126226,25089.008664358666,21205.51048600492,19336.409714332003,19033.819960238994,20913.652491408327,19257.73877818409,19760.437542370284
Spain,96823.55454330277,56571.32003047693,77078.57491055019,76530.04686823621,91004.36461471657,76661.66092056266,53262.93619140159,52632.690839817136,69728.37581575902,31529.44952706435,42740.29758554979,46173.648043960486,29796.697029840892,37752.97639335211,46632.2047507011,36533.74938320023,69730.86528736245,55370.243484753744,51795.22988365258,32527.74521068287,40266.9945095994,59606.231928329864,26992.59257129557,54667.327976215376,37232.62981010459,20118.83935592662,29556.911588387673,31978.253708031854,22573.832689084848,23959.58596987669,36092.004304238755,27489.816093604346,18062.7947563916,30742.984576847597,34872.763181793496
Ethiopia,-1451.6016460905357,-1343.5610325950029,-1160.0712093308782,-1362.0165517241376,-1194.3035460992917,-1297.276464542652,-1044.4161849710981,-1018.6750342130987,-973.4823388998873,-963.053469712746,-928.8319921629,-979.0624813437256,-324.07409868523655,-260.2366870807815,-186.50094735183458,-189.92574141822993,-164.74088767666748,-114.41609773625584,-92.52812087562009,-44.323597333753234,-45.130207045735474,-43.526118129054296,-43.40544491138315,-21.979185191485413,-44.44231921693968,-22.89877620045017,-23.003919154611673,-374.93051162303414,-1180.883572731866,-1250.6328217185703,-89.27641328644604,-91.04387042018688,-24.277261618196107,-26.21924964330335,-26.62238323925071
Finland,22492.715706043673,29046.100245099406,20131.951273720046,20554.761351065605,17756.259661443102,18286.952810351937,19004.273172474845,22408.926247830077,18610.494019826543,16565.773858229357,12697.577962379613,17649.371821591474,19257.878216151985,16648.02486231611,14478.151269840155,15907.686015756699,16260.77182760777,15955.550088337139,18151.886479400553,14116.159292351354,17930.64858538123,16107.812736221687,13406.76089292749,12023.425285100102,20646.48543763933,16999.92235425641,14760.79557178805,19270.819476226963,23584.928468159513,15858.380325674827,16615.828049971755,15635.695409209951,22575.15346251329,13827.44069529525,15543.727988276847
Fiji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France,178935.0149403851,135995.60551088917,127387.56198898544,95586.46731151492,62065.17046221473,45766.865271468654,34674.17828916513,35868.26663651112,40052.562314935894,23010.000917846475,24101.716129198514,26795.40501885451,27690.817680875152,20712.721437505093,25348.59739068646,24089.31155691183,21947.531516574265,19226.786116644504,23280.333264781097,25157.43823491692,22751.242747295913,24130.033671990237,18751.25880581446,18666.785461466905,18536.736529729467,16808.97058394257,17838.560687163994,19281.945025445348,20815.472740396173,18812.418610127548,20498.022574060793,11666.66938078466,15382.953651140608,18860.82392483246,12188.569800652063
Faroe Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabon,32085.209302325202,-1752.216076338347,-1418.169381107492,-2180.9514978172524,-1481.58472925594,-2545.518574448807,-2242.15174210355,-2188.869136726547,-2100.2884405074365,-4363.644001344241,-5002.3221916971925,-4471.274818639306,-4697.673041951465,-4628.49168646081,-3312.8885381253067,-4159.711612358487,-6717.624331027277,-5923.178540273332,-8703.679627432883,-7238.905688622756,-7982.9381443299035,-6690.559900875087,-7560.838509316768,-11341.930229401383,-12371.317073170716,-57815.15098265841,-11879.140000000001,19836.44845360823,74613.24000000028,-50710.38651767708,22243.287880718704,7280.854216604924,8553.59171335751,7040.3115044247725,3470.4853359294634
United Kingdom,7509.513524044005,8208.889889569798,8380.61361350871,8261.27059572478,6691.044788670918,6962.793417277069,8236.53187011326,7147.3504832304125,8218.229762245037,8010.483698558613,8471.523159927272,7383.900321410048,8791.5010144345,6343.84045198311,7391.991686055084,6782.702305034383,4570.908268970418,5317.489941934361,6506.434228523782,6705.1060550648635,6549.491840033907,5179.649293655233,5968.0899617163195,4062.3768322062997,6148.548038299307,6340.757224344474,6041.641343113588,6511.41229176257,6527.3606991076185,6040.549768456679,4146.686249037541,6476.074710232876,6487.913531425292,5473.028101873496,6389.425723207455
